section: results
rank,teamName,roundNumber,avgScore,avgMarketSharePct
1,Foxed Corner,1,0.4236,11.78
2,Paper Trail Co.,1,0.4097,11.40
3,Deckle Edge,1,0.3948,10.98
4,The Binding,1,0.3445,9.58
5,Signature Fold,1,0.3269,9.09
6,Inkwell Studio,1,0.3094,8.61
7,Ampersand Press,1,0.2768,7.70
8,Quire,1,0.2498,6.95
9,Dot & Rule,1,0.2389,6.64
10,Margin Notes,1,0.2094,5.83
11,Colophon,1,0.2069,5.75
12,Gridline,1,0.2046,5.69

section: projections
channel: offline
product: Anime Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Inkwell Studio,1,2.3000,7.84,0.00,96,16.92,6405.28,-4773.39
Margin Notes,1,1.3000,6.08,0.00,114,9.88,5244.67,-4117.65
Paper Trail Co.,1,2.9000,9.16,1174.93,52,22.55,7153.96,-5979.03
Quire,1,1.9000,7.18,781.23,100,14.46,5904.65,-4453.80
Signature Fold,1,2.4000,8.50,0.00,70,19.65,6840.03,-5466.67
The Binding,1,2.5000,8.72,615.77,59,20.95,6827.76,-5596.22

product: Indie Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,1883.69,122,15.48,6142.00,-4258.31
Colophon,1,1.2000,5.64,0.00,130,10.31,4817.85,-3475.73
Deckle Edge,1,2.8000,9.38,1085.10,92,20.71,7185.08,-5286.15
Dot & Rule,1,1.8000,6.74,0.00,131,12.95,5702.04,-4006.43
Foxed Corner,1,3.0000,9.60,1163.75,98,20.87,7273.01,-5236.44
Gridline,1,1.1000,5.42,0.00,133,9.65,4650.80,-3371.51
Inkwell Studio,1,2.3000,7.84,0.00,117,16.92,6405.28,-4429.73
Margin Notes,1,1.3000,6.08,0.00,138,9.88,5244.67,-3880.32
Paper Trail Co.,1,2.9000,9.16,1422.36,63,22.55,7153.96,-5731.60
Quire,1,1.9000,7.18,1003.65,121,14.46,5904.65,-4148.27
Signature Fold,1,2.4000,8.50,0.00,85,19.65,6840.03,-5177.46
The Binding,1,2.5000,8.72,851.94,71,20.95,6827.76,-5336.87

product: Minimalist Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,1760.02,114,15.48,6142.00,-4381.98
Colophon,1,1.2000,5.64,0.00,122,10.31,4817.85,-3563.85
Deckle Edge,1,2.8000,9.38,887.13,86,20.71,7185.08,-5410.82
Dot & Rule,1,1.8000,6.74,0.00,122,12.95,5702.04,-4117.75
Foxed Corner,1,3.0000,9.60,815.51,91,20.87,7273.01,-5370.15
Gridline,1,1.1000,5.42,0.00,124,9.65,4650.80,-3455.50
Inkwell Studio,1,2.3000,7.84,0.00,109,16.92,6405.28,-4559.43
Margin Notes,1,1.3000,6.08,0.00,129,9.88,5244.67,-3969.89
Paper Trail Co.,1,2.9000,9.16,1328.98,59,22.55,7153.96,-5824.98
Quire,1,1.9000,7.18,703.31,113,14.46,5904.65,-4263.58
Signature Fold,1,2.4000,8.50,0.00,79,19.65,6840.03,-5286.61
The Binding,1,2.5000,8.72,696.51,66,20.95,6827.76,-5434.75

channel: online
product: Anime Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,98,15.48,6142.00,-4630.40
Colophon,1,1.2000,5.64,615.44,104,10.31,4817.85,-3740.84
Deckle Edge,1,2.8000,9.38,870.76,74,20.71,7185.08,-5661.24
Dot & Rule,1,1.8000,6.74,1360.68,105,12.95,5702.04,-4341.36
Foxed Corner,1,3.0000,9.60,0.00,78,20.87,7273.01,-5638.72
Gridline,1,1.1000,5.42,586.62,106,9.65,4650.80,-3624.21
Inkwell Studio,1,2.3000,7.84,1585.32,94,16.92,6405.28,-4819.96
Margin Notes,1,1.3000,6.08,0.00,111,9.88,5244.67,-4149.81
Paper Trail Co.,1,2.9000,9.16,0.00,51,22.55,7153.96,-6012.56
Quire,1,1.9000,7.18,0.00,97,14.46,5904.65,-4495.20
Signature Fold,1,2.4000,8.50,0.00,68,19.65,6840.03,-5505.87
The Binding,1,2.5000,8.72,683.66,57,20.95,6827.76,-5631.36

product: Cute Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,101,15.48,6142.00,-4585.99
Colophon,1,1.2000,5.64,596.97,108,10.31,4817.85,-3709.20
Deckle Edge,1,2.8000,9.38,784.30,76,20.71,7185.08,-5616.48
Dot & Rule,1,1.8000,6.74,1400.65,108,12.95,5702.04,-4301.39
Foxed Corner,1,3.0000,9.60,0.00,81,20.87,7273.01,-5590.71
Gridline,1,1.1000,5.42,569.02,110,9.65,4650.80,-3594.05
Inkwell Studio,1,2.3000,7.84,1631.89,96,16.92,6405.28,-4773.39
Margin Notes,1,1.3000,6.08,0.00,114,9.88,5244.67,-4117.65
Paper Trail Co.,1,2.9000,9.16,0.00,52,22.55,7153.96,-5979.03
Quire,1,1.9000,7.18,0.00,100,14.46,5904.65,-4453.80
Signature Fold,1,2.4000,8.50,0.00,70,19.65,6840.03,-5466.67
The Binding,1,2.5000,8.72,615.77,59,20.95,6827.76,-5596.22

product: Indie Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,122,15.48,6142.00,-4258.31
Colophon,1,1.2000,5.64,671.06,130,10.31,4817.85,-3475.73
Deckle Edge,1,2.8000,9.38,813.83,92,20.71,7185.08,-5286.15
Dot & Rule,1,1.8000,6.74,1695.61,131,12.95,5702.04,-4006.43
Foxed Corner,1,3.0000,9.60,0.00,98,20.87,7273.01,-5236.44
Gridline,1,1.1000,5.42,639.64,133,9.65,4650.80,-3371.51
Inkwell Studio,1,2.3000,7.84,1975.55,117,16.92,6405.28,-4429.73
Margin Notes,1,1.3000,6.08,0.00,138,9.88,5244.67,-3880.32
Paper Trail Co.,1,2.9000,9.16,0.00,63,22.55,7153.96,-5731.60
Quire,1,1.9000,7.18,0.00,121,14.46,5904.65,-4148.27
Signature Fold,1,2.4000,8.50,0.00,85,19.65,6840.03,-5177.46
The Binding,1,2.5000,8.72,638.95,71,20.95,6827.76,-5336.87

product: Minimalist Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,114,15.48,6142.00,-4381.98
Colophon,1,1.2000,5.64,537.43,122,10.31,4817.85,-3563.85
Deckle Edge,1,2.8000,9.38,887.13,86,20.71,7185.08,-5410.82
Dot & Rule,1,1.8000,6.74,1584.29,122,12.95,5702.04,-4117.75
Foxed Corner,1,3.0000,9.60,0.00,91,20.87,7273.01,-5370.15
Gridline,1,1.1000,5.42,512.27,124,9.65,4650.80,-3455.50
Inkwell Studio,1,2.3000,7.84,1845.85,109,16.92,6405.28,-4559.43
Margin Notes,1,1.3000,6.08,0.00,129,9.88,5244.67,-3969.89
Paper Trail Co.,1,2.9000,9.16,0.00,59,22.55,7153.96,-5824.98
Quire,1,1.9000,7.18,0.00,113,14.46,5904.65,-4263.58
Signature Fold,1,2.4000,8.50,0.00,79,19.65,6840.03,-5286.61
The Binding,1,2.5000,8.72,696.51,66,20.95,6827.76,-5434.75

channel: retail
product: Anime Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,98,15.48,6142.00,-4630.40
Colophon,1,1.2000,5.64,461.58,104,10.31,4817.85,-3740.84
Deckle Edge,1,2.8000,9.38,0.00,74,20.71,7185.08,-5661.24
Dot & Rule,1,1.8000,6.74,0.00,105,12.95,5702.04,-4341.36
Foxed Corner,1,3.0000,9.60,817.14,78,20.87,7273.01,-5638.72
Gridline,1,1.1000,5.42,439.97,106,9.65,4650.80,-3624.21
Inkwell Studio,1,2.3000,7.84,0.00,94,16.92,6405.28,-4819.96
Margin Notes,1,1.3000,6.08,1094.85,111,9.88,5244.67,-4149.81
Paper Trail Co.,1,2.9000,9.16,0.00,51,22.55,7153.96,-6012.56
Quire,1,1.9000,7.18,704.72,97,14.46,5904.65,-4495.20
Signature Fold,1,2.4000,8.50,1334.17,68,19.65,6840.03,-5505.87
The Binding,1,2.5000,8.72,0.00,57,20.95,6827.76,-5631.36

product: Cute Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,101,15.48,6142.00,-4585.99
Colophon,1,1.2000,5.64,511.69,108,10.31,4817.85,-3709.20
Deckle Edge,1,2.8000,9.38,0.00,76,20.71,7185.08,-5616.48
Dot & Rule,1,1.8000,6.74,0.00,108,12.95,5702.04,-4301.39
Foxed Corner,1,3.0000,9.60,776.44,81,20.87,7273.01,-5590.71
Gridline,1,1.1000,5.42,487.73,110,9.65,4650.80,-3594.05
Inkwell Studio,1,2.3000,7.84,0.00,96,16.92,6405.28,-4773.39
Margin Notes,1,1.3000,6.08,1127.01,114,9.88,5244.67,-4117.65
Paper Trail Co.,1,2.9000,9.16,0.00,52,22.55,7153.96,-5979.03
Quire,1,1.9000,7.18,669.62,100,14.46,5904.65,-4453.80
Signature Fold,1,2.4000,8.50,1373.36,70,19.65,6840.03,-5466.67
The Binding,1,2.5000,8.72,0.00,59,20.95,6827.76,-5596.22

product: Indie Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,122,15.48,6142.00,-4258.31
Colophon,1,1.2000,5.64,671.06,130,10.31,4817.85,-3475.73
Deckle Edge,1,2.8000,9.38,0.00,92,20.71,7185.08,-5286.15
Dot & Rule,1,1.8000,6.74,0.00,131,12.95,5702.04,-4006.43
Foxed Corner,1,3.0000,9.60,872.81,98,20.87,7273.01,-5236.44
Gridline,1,1.1000,5.42,639.64,133,9.65,4650.80,-3371.51
Inkwell Studio,1,2.3000,7.84,0.00,117,16.92,6405.28,-4429.73
Margin Notes,1,1.3000,6.08,1364.35,138,9.88,5244.67,-3880.32
Paper Trail Co.,1,2.9000,9.16,0.00,63,22.55,7153.96,-5731.60
Quire,1,1.9000,7.18,752.73,121,14.46,5904.65,-4148.27
Signature Fold,1,2.4000,8.50,1662.57,85,19.65,6840.03,-5177.46
The Binding,1,2.5000,8.72,0.00,71,20.95,6827.76,-5336.87

product: Minimalist Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,0.00,114,15.48,6142.00,-4381.98
Colophon,1,1.2000,5.64,716.58,122,10.31,4817.85,-3563.85
Deckle Edge,1,2.8000,9.38,0.00,86,20.71,7185.08,-5410.82
Dot & Rule,1,1.8000,6.74,0.00,122,12.95,5702.04,-4117.75
Foxed Corner,1,3.0000,9.60,1087.35,91,20.87,7273.01,-5370.15
Gridline,1,1.1000,5.42,683.03,124,9.65,4650.80,-3455.50
Inkwell Studio,1,2.3000,7.84,0.00,109,16.92,6405.28,-4559.43
Margin Notes,1,1.3000,6.08,1274.78,129,9.88,5244.67,-3969.89
Paper Trail Co.,1,2.9000,9.16,0.00,59,22.55,7153.96,-5824.98
Quire,1,1.9000,7.18,937.75,113,14.46,5904.65,-4263.58
Signature Fold,1,2.4000,8.50,1553.42,79,19.65,6840.03,-5286.61
The Binding,1,2.5000,8.72,0.00,66,20.95,6827.76,-5434.75
